Name,units,Description/Notes
u, m/s, ``dat['vel'][0]``
v, m/s, ``dat['vel'][1]``
w, m/s, ``dat['vel'][2]``
U, m/s, Horizontal velocity as a complex quantity (dat.u + 1j * dat.v)
U_mag, m/s, Magnitude of the horizontal velocity
U_dir, deg, "Direction of the horizontal velocity (CW from X, North, or streamwise direction depending on coordinate system)"
I, ---, Turbulence Intensity: ratio of U_std to horizontal velocity magnitude
I_tke, ---, TKE Intensity: Ratio of sqrt(2*tke) to horizontal velocity magnitude
tau_ij, m\ :sup:`2`/s\ :sup:`2`, Reynold's stress tensor
tke, m\ :sup:`2`/s\ :sup:`2`, Turbulent kinetic energy (half the sum of the data in `'tke_vec'`)
E_coh, m\ :sup:`2`/s\ :sup:`2`, Coherent TKE (root-sum-square of Reynold's stresses)
upup\_, m\ :sup:`2`/s\ :sup:`2`, ``dat['tke_vec'].sel(tke="upup_")``
vpvp\_, m\ :sup:`2`/s\ :sup:`2`, ``dat['tke_vec'].sel(tke="vpvp_")``
wpwp\_, m\ :sup:`2`/s\ :sup:`2`, ``dat['tke_vec'].sel(tke="wpwp_")``
upvp\_, m\ :sup:`2`/s\ :sup:`2`, ``dat['stress'].sel(tau="upvp_")``
upwp\_, m\ :sup:`2`/s\ :sup:`2`, ``dat['stress'].sel(tau="upwp_")``
vpwp\_, m\ :sup:`2`/s\ :sup:`2`, ``dat['stress'].sel(tau="vpwp_")``
k, 1/m, "Wavenumber, calculated from ``dat['psd']['f']``"
